algo,K,frac,alpha,dp_sigma,acc_mean,vs_baseline_algo,vs_baseline_K,vs_baseline_frac,vs_baseline_alpha,vs_baseline_sigma,baseline_mean,t_stat,p_value
fedavg,10,0.5,iid,0.05,0.7786458333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,iid,0.05,0.7786458333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,iid,0.0,0.7786458333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,iid,0.1,0.7779947916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,iid,0.1,0.77734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,iid,0.1,0.77734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.01,0.77734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,iid,0.1,0.7766927083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,iid,0.05,0.7766927083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,iid,0.05,0.7766927083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,iid,0.05,0.7766927083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,iid,0.0,0.7766927083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,iid,0.05,0.7766927083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,iid,0.0,0.7760416666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,iid,0.0,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,iid,0.01,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,iid,0.1,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,iid,0.05,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,iid,0.01,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,iid,0.05,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,iid,0.1,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,iid,0.1,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,iid,0.1,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,iid,0.01,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,iid,0.0,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,iid,0.01,0.7747395833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,iid,0.01,0.7740885416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,iid,0.01,0.7740885416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.05,0.7740885416666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.0,0.7734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,iid,0.01,0.7734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.0,0.7734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.01,0.7727864583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,iid,0.0,0.7727864583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,iid,0.0,0.7721354166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.01,0.771484375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.01,0.771484375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.0,0.7708333333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.1,0.7708333333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.1,0.7708333333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.0,0.7708333333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,iid,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.05,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,iid,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.1,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,0.3,0.0,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.05,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,iid,0.0,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,iid,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,iid,0.0,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.01,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.01,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,iid,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.1,0.7688802083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.05,0.7688802083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.05,0.7688802083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,0.3,0.01,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.1,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.01,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,0.3,0.0,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,iid,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.05,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,iid,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,0.3,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.05,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.05,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.1,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,iid,0.01,0.7669270833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.0,0.7669270833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.05,0.7669270833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.0,0.7662760416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.1,0.7662760416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.1,0.7662760416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,0.3,0.01,0.765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.05,0.765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,iid,0.0,0.7649739583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,0.3,0.0,0.763671875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.01,0.763671875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.01,0.763671875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,iid,0.0,0.7623697916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,iid,0.0,0.7623697916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,iid,0.01,0.7623697916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,iid,0.01,0.7623697916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.1,0.76171875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.1,0.76171875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,iid,0.01,0.7610677083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,0.3,0.01,0.7610677083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.05,0.759765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.05,0.759765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.0,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.0,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.1,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.01,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.1,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.01,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.05,0.7591145833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.05,0.7591145833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.05,0.7591145833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.0,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.05,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.0,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.05,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.1,0.7578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.1,0.7578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.1,0.7571614583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.1,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.0,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.01,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.01,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.1,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,0.3,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,iid,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,0.3,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,0.3,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,iid,0.0,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,0.3,0.0,0.7565104166666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,0.3,0.0,0.7565104166666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,0.3,0.0,0.7565104166666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,0.3,0.05,0.755859375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,0.3,0.0,0.7552083333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,0.3,0.01,0.7552083333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,iid,0.0,0.7552083333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,0.3,0.05,0.7552083333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,0.3,0.1,0.7552083333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,0.3,0.05,0.7545572916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,0.3,0.0,0.7545572916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,0.3,0.1,0.7545572916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,0.3,0.0,0.7545572916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,iid,0.05,0.75390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,0.3,0.05,0.75390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,0.3,0.01,0.75390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,0.3,0.0,0.75390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,iid,0.05,0.7532552083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,iid,0.05,0.7532552083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,0.3,0.01,0.7532552083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,0.3,0.01,0.7532552083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,0.3,0.1,0.7532552083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,0.3,0.1,0.7526041666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,0.3,0.05,0.751953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,0.3,0.05,0.751953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,0.3,0.05,0.751953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,0.3,0.01,0.751953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,0.3,0.0,0.7513020833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,0.3,0.05,0.7506510416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,0.3,0.0,0.7506510416666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,iid,0.05,0.7506510416666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,0.3,0.0,0.75,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,iid,0.05,0.7493489583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,iid,0.05,0.7473958333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,0.3,0.1,0.7467447916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,0.3,0.1,0.7467447916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,iid,0.1,0.74609375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,0.3,0.1,0.74609375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,iid,0.1,0.74609375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,0.3,0.1,0.7454427083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,0.3,0.01,0.7454427083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,0.3,0.05,0.7415364583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,0.3,0.01,0.740234375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,iid,0.1,0.7389322916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,0.3,0.0,0.7389322916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,0.3,0.05,0.734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,0.3,0.05,0.7311197916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,iid,0.05,0.7291666666666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,iid,0.1,0.7265625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,iid,0.1,0.7252604166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,iid,0.1,0.724609375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,iid,0.05,0.724609375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,0.3,0.05,0.724609375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,iid,0.1,0.7200520833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,iid,0.05,0.7194010416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,0.3,0.1,0.7161458333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,0.3,0.05,0.7135416666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,0.3,0.05,0.7109375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,0.3,0.1,0.7083333333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,0.3,0.1,0.69921875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,iid,0.1,0.6979166666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,0.3,0.1,0.69140625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,0.3,0.1,0.6764322916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,iid,0.1,0.6692708333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,0.3,0.1,0.6640625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
